,sentence,category,sentiment
9844,"Excellent way to get a competitive price of buying tyres, whilst also getting them fitted with a trustable tyre fitting company. The best of both worlds. Will use this way to get future tyres fitted, thank you",garage service,positive
9845,Excellent service and customer attention,advisoragent service,positive
9846,Great convenient service and fantastic garage recommendation,garage service,positive
9847,Better than the quick fit bunch. Who just want your money,value for money,positive
9848,"Very competitive prices, easy website to navigate and order.One very happy customer, will definitely use again and recommend to friends and family.",value for money,positive
9849,great system and really quick to buy and secure an appointment,ease of booking,positive
9850,Quick & efficient service. Competitive prices.,value for money,positive
9851,"tyres were good but fitting very poor, Two days after they were fitted the car went in a garage to be serviced and some of the wheel nuts were loose.",garage service,positive
9852,Highly recommended. Recommend by my friend to try [REDACTED] . Choose premium quality tyre and price was cheaper than any other site .Paid and Selected garage within one mile radius of my home .Arrived 5 minute before and my slot was attended by staff straightaway.Waiting area was nice and comfy .Got both tyre done with alloygator in 1hts 20 minute .Other workshop charge extra to change tyre if you have alloygator .Welldone for fantastic work.,value for money,positive
9853,Very happy with the service given to me. I arrived 10 minutes early and the lads jumped straight on my car while I waited. I am very protective over my car as she’s my pride and joy so I did watch them from start to finish. It’s nice to see them do it by the book without using a nut gun. Thankyou. I went to a different garage later that day as I needed the fronts urgently and couldn’t wait for your delivery time and they used a nut gun and didn’t removed the old wheel weights before balancing. They also charged an extra £15 a tyre. Your team are great I will be using [REDACTED] in the future as of now.,garage service,positive
9854,"Easy to use website, good value tyres, good service at garage.",value for money,positive
9855,"Quick process. Very easy to use, fast process when using finance too. Not too happy about having to pay a settlement charge before the interest goes on at 6 month. But that's the finance company not [REDACTED] still prices are still good.",value for money,positive
9856,"Quick process. Very easy to use, fast process when using finance too. Not too happy about having to pay a settlement charge before the interest goes on at 6 month. But that's the finance company not [REDACTED] still prices are still good.",extra charges,negative
9857,"Service 100 percent , fitting station 100 percent All round perfection",value for money,positive
9858,"Service 100 percent , fitting station 100 percent All round perfection",garage service,positive
9859,Great prices and fast delivery. Four cars in my household and use [REDACTED] every time . Wouldn’t go anywhere else !,value for money,positive
9860,Great prices and fast delivery. Four cars in my household and use [REDACTED] every time . Wouldn’t go anywhere else !,delivery punctuality,positive
9861,"Terrible after service, communication is non existing if you have a problem.",advisoragent service,negative
9862,"Process was clear and simple. Only problem was that I didn't input discount code, my fault entirely. Mid-Devon Tyres service was excellent.",discounts,positive
9863,Easy to shop online and thr fitting was first class,ease of booking,positive
9864,"Two weeks later and the Tyre's still haven't arrived! Customer support seem to be ignoring their tickets taking days to respond. Had a fault with a tyre and needed these tyres urgently, so went out of my way to get them. But its been a disaster of an experience.",advisoragent service,negative
9865,Well priced products,value for money,positive
9866,"Good prices, great service, and,most importantly, friendly staff. What more can I say.",value for money,positive
9867,Very good price for premium tyres. Fitted at a local garage with no issues whatsoever,value for money,positive
9868,Very good price for premium tyres. Fitted at a local garage with no issues whatsoever,location,positive
9869,The whole experience from purchasing the tyres on line and to then having them fitted was faultless.,garage service,positive
9870,Great prices and friendly staff,value for money,positive
9871,You told me to go early that the garage took first come first served which was wrong,garage service,negative
9872,"Easy, good prices, at a time that suits you.",value for money,positive
9873,Wheels were damaged and it’s taken a week and still no response to request for resolution,response time,negative
9874,Wheels were damaged and it’s taken a week and still no response to request for resolution,damage,negative
9875,"I've used [REDACTED] before, and in conjunction with A2 Tyres in Sittingbourne, the service has been exemplary. I have no complaints and no adverse criticism to offer. I'll be back.",garage service,positive
9876,Easy to find and fast delivery,delivery punctuality,positive
9877,"Great service, easy to use and very quick. Prices are good too",value for money,positive
9878,Good range and great value,value for money,positive
9879,Very easy and the cheapest on the market... many options for fitting.,value for money,positive
9880,From start . To fitting of tyres no fuss Good value,value for money,positive
9881,"Good service but impacted on a score of 10 by being told tyres were not delivered to my tyre fitting centre and would have to re-arrange a date. However 15 minutes before scheduled time received a call to say they were there and could I visit immediately for fitting. On arrival, told by the centre the tyres were there the day before!!",advisoragent service,negative
9882,Decent prices and easy to use.,value for money,positive
9883,"Tyres that are easy to order at a great price with a choice of fitting centres, I have used [REDACTED] for my last three sets of tyres , even used you for a replacement after suffering a puncture on holiday in Cornwall,",value for money,positive
9884,"It was so easy from ordering, booking in to a local garage then just turning up for the fitting.",location,positive
9885,"It was so easy from ordering, booking in to a local garage then just turning up for the fitting.",ease of booking,positive
9886,Fast efficient and value for money,value for money,positive
9887,The information about each tyre on the website was fantastic and the whole process so easy. Best way I've ever bought tyres.,garage service,positive
9888,"Competitive pricing, everything on time, good service.",value for money,positive
9889,"Great price, smooth service",value for money,positive
9890,"Used before, good prices, easy to navigate website",value for money,positive
9891,Good value for money and good service.,value for money,positive
9892,Efficient and effective,value for money,positive
9893,Used twice,value for money,positive
9894,Easy to use site with a great price and easy service,value for money,positive
9895,Shopped around and found them to be the best price.,value for money,positive
9896,Good price. Excellent service. Very convenient.,value for money,positive
9897,good but bit of a wait for an appointment,ease of booking,negative
9898,Easy and quick booking and great price,value for money,positive
9899,Easy and quick booking and great price,ease of booking,positive
9900,Spot on service at the right price. Used [REDACTED] for various tyres over the last few years and never been disappointed.,value for money,positive
9901,"Easy process. Good value on price. Time will tell on the quality of the tyre, [REDACTED] own brand. So far so good.",value for money,positive
9902,Price & convenience,value for money,positive
9903,Really poor service only advising me 15 mins prior that they were cancelling my booking.,late notice,negative
9904,"Perfectly fine. Very easy process, fitting centre customer service was quite lacking though so would use again but not at that fitting centre.",garage service,negative
9905,"Great service, a little higher than average on price, but that is balanced out by a wider range.",value for money,negative
9906,"It is a good service that I would recommend however it depends on the Individual garage involved, In my case this was a good experience and my tyres were fitted promptly but this may vary.",garage service,positive
9907,Excellent and easy service to use. No hassle getting the tyres fitted at the local garage. All round 10/10 from me,location,positive
9908,Excellent and easy service to use. No hassle getting the tyres fitted at the local garage. All round 10/10 from me,garage service,positive
9909,Because the price was great but there is obviously an issue booking time slots. As in I chose a time and date but then a day later am told the slot is no longer available and get offered one that doesn’t fit in with my work schedule on another day.,value for money,positive
9910,Because the price was great but there is obviously an issue booking time slots. As in I chose a time and date but then a day later am told the slot is no longer available and get offered one that doesn’t fit in with my work schedule on another day.,ease of booking,negative
9911,I arrived late due to unforseen circumstances and the chaps at the garage were still able to fit me in... Thanks!,garage service,positive
9912,"Easy to use, efficient and good prices.",value for money,positive
9913,Price and service,value for money,positive
9914,"Good price, easy to order",value for money,positive
9915,"Good price, no hassle.",value for money,positive
9916,Website easy to use and book local garage.,location,positive
9917,Website easy to use and book local garage.,ease of booking,positive
9918,It's fab to be able to order tyres easily online and then get to choose a convenient garage to fit them.,ease of booking,positive
9919,Efficient and easy to use service and very competitively priced tyres.,value for money,positive
9920,Reliable and VFM,value for money,positive
9921,Easy to order and good to get a time slot,ease of booking,positive
9922,From ordering to fitting straight forward and easy . Fitting was hassle free excellent service and most of all very reasonably priced .,value for money,positive
9923,From ordering to fitting straight forward and easy . Fitting was hassle free excellent service and most of all very reasonably priced .,garage service,positive
9924,Straightforward source for tyres. Good choice of tyres. Easy to order and arrange fitting. Lots of helpful information on the website.,ease of booking,positive
9925,In principal the concept is good but not sure if it was time saving or the best price,value for money,negative
9926,easy to purchase from site and fitted 5 mins walk from home! Only issue was my fault buying budget tyres for my BMW which seem much harder than premium brand and effect the cars handling.,location,positive
9927,Everything went smoothly and all in time,wait time,positive
9928,Booked in for 9.30 am appointment tyre didn't arrive till after 4pm......not good enough .,delivery punctuality,negative
9929,Service excellent but tyres I actually wanted not available,no stock,negative
9930,Tyre was delayed getting to garage. Got eventually.,delivery punctuality,negative
9931,Extremely simple process from purchasing tyres to having them fitted,garage service,positive
9932,When they are good they are very good. Could do with a little more effort when there is a problem,advisor/agent service,negative
9933,Tyres. First class many thanks,tyre quality,positive
9934,It's straight forward buy online select garage get get free tracking check at my selected garage job done,extra charges,positive
9935,It's straight forward buy online select garage get get free tracking check at my selected garage job done,ease of booking,positive
9936,Fast service sorted out my problem with wrong tyres I ordered a big thank-you. Michael,advisor/agent service,positive
9937,"Great service, quick and effective communication. 5 stars!",response time,positive
9938,Never let you down. Tyres are always there when they say.,delivery punctuality,positive
9939,"Very quick service, staff very friendly and helpful. Will definitely use them again",advisor/agent service,positive
9940,Praise of Workmanship. Excellent service recommended,garage service,positive
9941,Wide Choice of tyres and buy now pay later,value for money,positive
9942,"Excellent service, huge range of tyres to suit all needs and discounts when buying a full set. Very convenient service I have used twice now with excellent results.",discounts,positive
9943,"Pleased with the experience although it appeared to take a while, but not a problem if the job is done properly. Would use you again.",length of fitting,negative
9944,"very strightforward and easy to follow instructions, recipt and instructions were promptly emailed, a very easy transaction",ease of booking,positive
9945,"The time I requested was changed so when I arrived, I could not be seen so had to take the tyres to another garage",change of time,negative
9946,"P A Construction. Great service, couldn't be more helpful, would definitely use them again.",garage service,positive
9947,"Really easy and fast answers into all questions, best rates an options for tyres!",advisor/agent service,positive
9948,"Really easy and fast answers into all questions, best rates an options for tyres!",value for money,positive
9949,was not happy appointment was cancelled twice,change of date,negative
9950,tyes were their on time,delivery punctuality,positive
9951,"The process was very easy but the tyres were not inflated to the proper pressure, in fact they were very much under inflated.",damage,negative
9952,Excellent choice on line as well as a second to none experience whilst getting the tyres fitted,garage service,positive
9953,Communication about tyre pressures would have been helpful. Tyres were way overinflated - I had to go elsewhere and deflate them (all) - I have an onboard pressure indicator. Other than that very business like and time appropriate. Overall the process was very good.,damage,negative
9954,Communication about tyre pressures would have been helpful. Tyres were way overinflated - I had to go elsewhere and deflate them (all) - I have an onboard pressure indicator. Other than that very business like and time appropriate. Overall the process was very good.,wait time,positive
9955,its perfect. on time and no problems,delivery punctuality,positive
9956,"My fitting was delayed twice. This was extremely inconvenient as we were taking the family camping, so we had to delay our trip by nearly a week!",change of date,negative
9957,Could look At home and then check price first,value for money,positive
9958,Cancelled at short notice twice.,late notice,negative
9959,Cancelled at short notice twice.,change of date,negative
9960,A smooth process from ordering to fitting.,garage service,positive
9961,Ordered tyres on Monday lunchtime and had tyres delivered and fitted at an arranged fitter on Friday morning. All went smoothly without a hitch!,delivery punctuality,positive
9962,Ordered tyres on Monday lunchtime and had tyres delivered and fitted at an arranged fitter on Friday morning. All went smoothly without a hitch!,wait time,positive
9963,Good tyres and good price,value for money,positive
9964,Good tyres and good price,tyre quality,positive
9965,simple to use and it has good prices,value for money,positive
9966,Ordering the tyres was very easy. Great service from the fitter as well.,ease of booking,positive
9967,Ordering the tyres was very easy. Great service from the fitter as well.,garage service,positive
9968,Good price and reasonable service,value for money,positive
9969,Got exactly what I ordered when I was told I will get it at the best price on the market.,value for money,positive
9970,Good service - website was easy to use. Had my tyres on my car in the garage I wanted and the day I wanted,location,positive
9971,Good service - website was easy to use. Had my tyres on my car in the garage I wanted and the day I wanted,delivery punctuality,positive
9972,"Good price and effective system, the local garage hadn't kept their availability up to date but this wasn't [REDACTED] fault and they handled the resolution effectively. I am a contented repeat customer and will look to use the service next time I need tyres.",value for money,positive
9973,"Good price and effective system, the local garage hadn't kept their availability up to date but this wasn't [REDACTED] fault and they handled the resolution effectively. I am a contented repeat customer and will look to use the service next time I need tyres.",ease of booking,negative
9974,"[REDACTED] are easy to deal with. Just visit on line, choose your tyres then the fitters and time/date. That's it job done.",ease of booking,positive
9975,Excellent choice with good prices to match,value for money,positive
9976,"Easy to order tyres on website . Then select local fitting centre . All within 2 -3 days of placing order . Prices are excellent , will certainly be buying from [REDACTED] in the future .",location,positive
9977,"Easy to order tyres on website . Then select local fitting centre . All within 2 -3 days of placing order . Prices are excellent , will certainly be buying from [REDACTED] in the future .",ease of booking,positive
9978,"Easy to order tyres on website . Then select local fitting centre . All within 2 -3 days of placing order . Prices are excellent , will certainly be buying from [REDACTED] in the future .",value for money,positive
9979,"Top price for tyres and fitting, but would like to see saperate tyre drop off at selected garage and tyre fitting time on invoice, because local garage will consider your appointment after tyre drop off not the one you have selected during purchase.",value for money,positive
9980,"Tyres fine and on time. Payment took more than an hour. I use the credit card and mobile very regularly to carry out similar transactions, but it continued to fail for a long time.",failed payment,negative
9981,"Tyres fine and on time. Payment took more than an hour. I use the credit card and mobile very regularly to carry out similar transactions, but it continued to fail for a long time.",tyre quality,positive
9982,"Tyres fine and on time. Payment took more than an hour. I use the credit card and mobile very regularly to carry out similar transactions, but it continued to fail for a long time.",delivery punctuality,positive
9983,"great price, got booked in quickly. happy with the service.",ease of booking,positive
9984,"great price, got booked in quickly. happy with the service.",value for money,positive
9985,"Easy process of identifying and ordering correct tyres, then choosing and booking the time with the preferred fitter",ease of booking,positive
9986,Job well done. 4 Michelin tyres fitted at a very good price.Thanks.,value for money,positive
9987,"Excellent service, couldn't fault anything. Cheapest website by far. Very informative through the whole process.",value for money,positive
9988,"Good price, nothing hidden and an easy process.",extra charges,positive
9989,"Good price, nothing hidden and an easy process.",value for money,positive
9990,Great guys. Great friendly service. Would recommend to anyone.,garage service,positive
9991,They got the job done right in a timely manner. Would definitely recommend.,wait time,positive
9992,Price was good and choice of fitting locations is helpful. Generally satisfied with [REDACTED].Just 2 issues:- Once a fitting service is selected you are given a calendar to select the day and time. Having selected an early morning time for my convenience at the designated supplier i was contacted later and told the time selected wasnt available. That was less convenient.The supplier selected was the nearest & most convenient but they were a mainstream BMW garage and not a specialist tyre fitter. They were clearly more focused on their BMW customers and despite clear instructions fitted the replacement tyre on the wrong wheel. This was apologetically rectified but resulted in the fitting of one tyre taking 2 hours. Instead of being fitted and on my way by 9-00 am as originally planned it was gone 12-00 when the job was completed.,value for money,positive
9993,Price was good and choice of fitting locations is helpful. Generally satisfied with [REDACTED].Just 2 issues:- Once a fitting service is selected you are given a calendar to select the day and time. Having selected an early morning time for my convenience at the designated supplier i was contacted later and told the time selected wasnt available. That was less convenient.The supplier selected was the nearest & most convenient but they were a mainstream BMW garage and not a specialist tyre fitter. They were clearly more focused on their BMW customers and despite clear instructions fitted the replacement tyre on the wrong wheel. This was apologetically rectified but resulted in the fitting of one tyre taking 2 hours. Instead of being fitted and on my way by 9-00 am as originally planned it was gone 12-00 when the job was completed.,location,positive
9994,Price was good and choice of fitting locations is helpful. Generally satisfied with [REDACTED].Just 2 issues:- Once a fitting service is selected you are given a calendar to select the day and time. Having selected an early morning time for my convenience at the designated supplier i was contacted later and told the time selected wasnt available. That was less convenient.The supplier selected was the nearest & most convenient but they were a mainstream BMW garage and not a specialist tyre fitter. They were clearly more focused on their BMW customers and despite clear instructions fitted the replacement tyre on the wrong wheel. This was apologetically rectified but resulted in the fitting of one tyre taking 2 hours. Instead of being fitted and on my way by 9-00 am as originally planned it was gone 12-00 when the job was completed.,change of time,negative
9995,Price was good and choice of fitting locations is helpful. Generally satisfied with [REDACTED].Just 2 issues:- Once a fitting service is selected you are given a calendar to select the day and time. Having selected an early morning time for my convenience at the designated supplier i was contacted later and told the time selected wasnt available. That was less convenient.The supplier selected was the nearest & most convenient but they were a mainstream BMW garage and not a specialist tyre fitter. They were clearly more focused on their BMW customers and despite clear instructions fitted the replacement tyre on the wrong wheel. This was apologetically rectified but resulted in the fitting of one tyre taking 2 hours. Instead of being fitted and on my way by 9-00 am as originally planned it was gone 12-00 when the job was completed.,garage service,negative
9996,Price was good and choice of fitting locations is helpful. Generally satisfied with [REDACTED].Just 2 issues:- Once a fitting service is selected you are given a calendar to select the day and time. Having selected an early morning time for my convenience at the designated supplier i was contacted later and told the time selected wasnt available. That was less convenient.The supplier selected was the nearest & most convenient but they were a mainstream BMW garage and not a specialist tyre fitter. They were clearly more focused on their BMW customers and despite clear instructions fitted the replacement tyre on the wrong wheel. This was apologetically rectified but resulted in the fitting of one tyre taking 2 hours. Instead of being fitted and on my way by 9-00 am as originally planned it was gone 12-00 when the job was completed.,length of fitting,negative
9997,Great value - saved £30 on the next best quote. Really efficient service - quickly got a date for fitting at a very convenient location. Tyres fitted quickly at the garage and paperwork completed in seconds!,length of fitting,positive
9998,Great value - saved £30 on the next best quote. Really efficient service - quickly got a date for fitting at a very convenient location. Tyres fitted quickly at the garage and paperwork completed in seconds!,location,positive
9999,Great value - saved £30 on the next best quote. Really efficient service - quickly got a date for fitting at a very convenient location. Tyres fitted quickly at the garage and paperwork completed in seconds!,value for money,positive
10000,Great value - saved £30 on the next best quote. Really efficient service - quickly got a date for fitting at a very convenient location. Tyres fitted quickly at the garage and paperwork completed in seconds!,wait time,positive
10001,Simple website and excellent service with [REDACTED] and my chosen fitters.,garage service,positive
10002,"Unfortunately, you can't beat their prices, but I've had some mixed experiences, and I'm struggling to trust the honesty / integrity of the company as a whole.1) I booked a fitted service for my wife's car, and was given a timed appointment, which was really inconvenient (no choice of times), so I called customer service to see if it could be changed ""let me check with the garage"" said the lady on the phone, followed by ""the garage has no other availability on that day"", etc, etc. So I called the garage directly and explained that I'd like to come earlier if possible and got ""no problem sir, come along for when we open, and we'll get you straight in""... did customer service actually speak with the garage, given how accommodating they were when I called, I doubt it!2) Different garage, and 4 tyres for my car... I had a very poor experience where it apparently took the garage 2 hours 10 minutes to change 4 tyres, and a very muddled experience from start to finish... they didn't have my paperwork, couldn't find my tyres, were questioning whether I was there on the right day, etc. and then the length of time to actually change the tyres, whilst mechanics floated aimlessly around the garage doing nothing. I took the time to write a detailed review of the garage on the [REDACTED] website, but that review hasn't been published weeks on, and the garage still has a 5 star rating, leading me to believe that [REDACTED] are trying to protect the reputation of their premier partner garages despite customer experiences.",length of fitting,negative
10003,"Unfortunately, you can't beat their prices, but I've had some mixed experiences, and I'm struggling to trust the honesty / integrity of the company as a whole.1) I booked a fitted service for my wife's car, and was given a timed appointment, which was really inconvenient (no choice of times), so I called customer service to see if it could be changed ""let me check with the garage"" said the lady on the phone, followed by ""the garage has no other availability on that day"", etc, etc. So I called the garage directly and explained that I'd like to come earlier if possible and got ""no problem sir, come along for when we open, and we'll get you straight in""... did customer service actually speak with the garage, given how accommodating they were when I called, I doubt it!2) Different garage, and 4 tyres for my car... I had a very poor experience where it apparently took the garage 2 hours 10 minutes to change 4 tyres, and a very muddled experience from start to finish... they didn't have my paperwork, couldn't find my tyres, were questioning whether I was there on the right day, etc. and then the length of time to actually change the tyres, whilst mechanics floated aimlessly around the garage doing nothing. I took the time to write a detailed review of the garage on the [REDACTED] website, but that review hasn't been published weeks on, and the garage still has a 5 star rating, leading me to believe that [REDACTED] are trying to protect the reputation of their premier partner garages despite customer experiences.",ease of booking,negative
10004,"Unfortunately, you can't beat their prices, but I've had some mixed experiences, and I'm struggling to trust the honesty / integrity of the company as a whole.1) I booked a fitted service for my wife's car, and was given a timed appointment, which was really inconvenient (no choice of times), so I called customer service to see if it could be changed ""let me check with the garage"" said the lady on the phone, followed by ""the garage has no other availability on that day"", etc, etc. So I called the garage directly and explained that I'd like to come earlier if possible and got ""no problem sir, come along for when we open, and we'll get you straight in""... did customer service actually speak with the garage, given how accommodating they were when I called, I doubt it!2) Different garage, and 4 tyres for my car... I had a very poor experience where it apparently took the garage 2 hours 10 minutes to change 4 tyres, and a very muddled experience from start to finish... they didn't have my paperwork, couldn't find my tyres, were questioning whether I was there on the right day, etc. and then the length of time to actually change the tyres, whilst mechanics floated aimlessly around the garage doing nothing. I took the time to write a detailed review of the garage on the [REDACTED] website, but that review hasn't been published weeks on, and the garage still has a 5 star rating, leading me to believe that [REDACTED] are trying to protect the reputation of their premier partner garages despite customer experiences.",garage service,negative
10005,"Unfortunately, you can't beat their prices, but I've had some mixed experiences, and I'm struggling to trust the honesty / integrity of the company as a whole.1) I booked a fitted service for my wife's car, and was given a timed appointment, which was really inconvenient (no choice of times), so I called customer service to see if it could be changed ""let me check with the garage"" said the lady on the phone, followed by ""the garage has no other availability on that day"", etc, etc. So I called the garage directly and explained that I'd like to come earlier if possible and got ""no problem sir, come along for when we open, and we'll get you straight in""... did customer service actually speak with the garage, given how accommodating they were when I called, I doubt it!2) Different garage, and 4 tyres for my car... I had a very poor experience where it apparently took the garage 2 hours 10 minutes to change 4 tyres, and a very muddled experience from start to finish... they didn't have my paperwork, couldn't find my tyres, were questioning whether I was there on the right day, etc. and then the length of time to actually change the tyres, whilst mechanics floated aimlessly around the garage doing nothing. I took the time to write a detailed review of the garage on the [REDACTED] website, but that review hasn't been published weeks on, and the garage still has a 5 star rating, leading me to believe that [REDACTED] are trying to protect the reputation of their premier partner garages despite customer experiences.",value for money,positive
10006,Excellent service top of the range tyres cheap,value for money,positive
10007,Excellent service top of the range tyres cheap,tyre quality,positive
10008,very easy process and good value,value for money,positive
10009,very easy process and good value,ease of booking,positive
10010,Needed to change tyres and did it on the phone easily and got them fitted at a time that worked for me,ease of booking,positive
10011,Great team at Handforth dean,garage service,positive
10012,"Fast, efficient, value for money",value for money,positive
10013,"Paid and booked a slot which was cancelled by [REDACTED] less than 24 hours before I was due to attend. They rescheduled without speaking with me and failed to reply to 2 emails sent in response to their email. They have offered me a £20 refund for the experience but I am yet to receive this one week after the appointment. It took over an hour for the ATS to fit the two tyres, previous experience suggests that that was a little extended.....good job they prefer free coffee",advisor/agent service,negative
10014,"Paid and booked a slot which was cancelled by [REDACTED] less than 24 hours before I was due to attend. They rescheduled without speaking with me and failed to reply to 2 emails sent in response to their email. They have offered me a £20 refund for the experience but I am yet to receive this one week after the appointment. It took over an hour for the ATS to fit the two tyres, previous experience suggests that that was a little extended.....good job they prefer free coffee",late notice,negative
10015,"Paid and booked a slot which was cancelled by [REDACTED] less than 24 hours before I was due to attend. They rescheduled without speaking with me and failed to reply to 2 emails sent in response to their email. They have offered me a £20 refund for the experience but I am yet to receive this one week after the appointment. It took over an hour for the ATS to fit the two tyres, previous experience suggests that that was a little extended.....good job they prefer free coffee",refund not actioned,negative
10016,"Paid and booked a slot which was cancelled by [REDACTED] less than 24 hours before I was due to attend. They rescheduled without speaking with me and failed to reply to 2 emails sent in response to their email. They have offered me a £20 refund for the experience but I am yet to receive this one week after the appointment. It took over an hour for the ATS to fit the two tyres, previous experience suggests that that was a little extended.....good job they prefer free coffee",length of fitting,negative
10017,"Paid and booked a slot which was cancelled by [REDACTED] less than 24 hours before I was due to attend. They rescheduled without speaking with me and failed to reply to 2 emails sent in response to their email. They have offered me a £20 refund for the experience but I am yet to receive this one week after the appointment. It took over an hour for the ATS to fit the two tyres, previous experience suggests that that was a little extended.....good job they prefer free coffee",facilities,positive
10018,"Paid and booked a slot which was cancelled by [REDACTED] less than 24 hours before I was due to attend. They rescheduled without speaking with me and failed to reply to 2 emails sent in response to their email. They have offered me a £20 refund for the experience but I am yet to receive this one week after the appointment. It took over an hour for the ATS to fit the two tyres, previous experience suggests that that was a little extended.....good job they prefer free coffee",response time,negative
10019,Tyres were competitively priced and I have had no problems.,value for money,positive
10020,Excellent service every time I have used them. Great value for money.,value for money,positive
10021,Good price and very flexible timings and dates for appt.,value for money,positive
10022,Good price and very flexible timings and dates for appt.,ease of booking,positive
10023,Excellent service from choosing online to booking fitting. Service was excellent at ATS in Hereford will use again.,ease of booking,positive
10024,Excellent service from choosing online to booking fitting. Service was excellent at ATS in Hereford will use again.,garage service,positive
10025,"Very easy to order and select a fitter, with a massive selection of tyres to choose from. I chose ATS Euromater to fit mine, who were very good! I took my car in at 9am as booked and got taken in straight away, EXCELLENT!",ease of booking,positive
10026,"Very easy to order and select a fitter, with a massive selection of tyres to choose from. I chose ATS Euromater to fit mine, who were very good! I took my car in at 9am as booked and got taken in straight away, EXCELLENT!",garage service,positive
10027,"Very easy to order and select a fitter, with a massive selection of tyres to choose from. I chose ATS Euromater to fit mine, who were very good! I took my car in at 9am as booked and got taken in straight away, EXCELLENT!",wait time,positive
10028,"Very Good service my alloys are a little corroded on the rim resulting in them needing pumping up every few days.The technician picked up on this and advised for a small fee they could dress and prep the rim to help with the problem.This was done and the new tyres now stay inflated, so overall was very satisfied with the service recived.",garage service,positive
10029,Very competitive with local suppliers.At least you can choose from a selection of local fitting garages and not be obliged to go to one that you maybe don't favour from past experience. Delivery to them is fast enough for most folk.,location,positive
10030,Very competitive with local suppliers.At least you can choose from a selection of local fitting garages and not be obliged to go to one that you maybe don't favour from past experience. Delivery to them is fast enough for most folk.,delivery punctuality,positive
10031,Very competitive with local suppliers.At least you can choose from a selection of local fitting garages and not be obliged to go to one that you maybe don't favour from past experience. Delivery to them is fast enough for most folk.,value for money,positive
10032,"Have used before and will use again, cannot fault this company. Excellent price, product and service.",value for money,positive
10033,Tyres not delivered on the booked day at specified garage. Probably courier problem.2 days late.,delivery punctuality,negative
10034,"Easy to use website,great communication and garage was excellent and efficient.",garage service,positive
10035,"Easy to use website,great communication and garage was excellent and efficient.",length of fitting,positive
10036,Good value plus excellent fitting service,value for money,positive
10037,Good value plus excellent fitting service,garage service,positive
10038,Very easy ordering process and options on which local tyre fitter to use. Very competitive prices and would definitely use again and recommend,ease of booking,positive
10039,Very easy ordering process and options on which local tyre fitter to use. Very competitive prices and would definitely use again and recommend,value for money,positive
10040,OneStop in Stirling were excellent. Great service.,garage service,positive
10041,"I’ve now purchased tyres from [REDACTED].com on 3 occasions and each time I have found very competitive prices, a really easy process, tyres are always delivered on time, good communication from [REDACTED].com throughout and the website is both informative and clear. Recommended!",advisor/agent service,positive
10042,"I’ve now purchased tyres from [REDACTED].com on 3 occasions and each time I have found very competitive prices, a really easy process, tyres are always delivered on time, good communication from [REDACTED].com throughout and the website is both informative and clear. Recommended!",value for money,positive
10043,"I’ve now purchased tyres from [REDACTED].com on 3 occasions and each time I have found very competitive prices, a really easy process, tyres are always delivered on time, good communication from [REDACTED].com throughout and the website is both informative and clear. Recommended!",delivery punctuality,positive
10044,Used [REDACTED] twice now and happy with the selection and price of tyres. My local garage fit them and I rate the service highly.,location,positive
10045,Used [REDACTED] twice now and happy with the selection and price of tyres. My local garage fit them and I rate the service highly.,value for money,positive
10046,First class service at a discount price,discounts,positive
10047,Simple quick and very cost effective. What lore do to need!?,value for money,positive
10048,"Great price, quick service and superb quality tyres. [REDACTED] we're brilliant communicating with me when the garage had a problem fitting me in on the slot I selected online and were great and making sure I was booked in as soon as possible. Would totally recommend this service to all car users!",value for money,positive
10049,"Great price, quick service and superb quality tyres. [REDACTED] we're brilliant communicating with me when the garage had a problem fitting me in on the slot I selected online and were great and making sure I was booked in as soon as possible. Would totally recommend this service to all car users!",tyre quality,positive
10050,Prompt professional service. Will recommend to all and use again. Tyres fitted within the allotted time in 35 mins.,length of fitting,positive
10051,Excellent service from operator who was friendly and professional and went out of his way to assist with the repair work.,garage service,positive
10052,Tyre purchase and fitting made easy. Literally got everything sorted within a few minutes. Third time I have used this service and will be using it again in the future,length of fitting,positive
10053,Tyre purchase and fitting made easy. Literally got everything sorted within a few minutes. Third time I have used this service and will be using it again in the future,wait time,positive
10054,"Excellent, helpful service. Delivered on time at reasonable cost.",delivery punctuality,positive
10055,"Excellent, helpful service. Delivered on time at reasonable cost.",value for money,positive
10056,Tyres are very reasonable for price and quality you select. It is really easy to order and pay for them. Delivered to the garage of my choice and they were there in plenty of time. Would recommend this company,value for money,positive
10057,Tyres are very reasonable for price and quality you select. It is really easy to order and pay for them. Delivered to the garage of my choice and they were there in plenty of time. Would recommend this company,delivery punctuality,positive
10058,"Ordered my tyres online and picked the place, day, and time well in advance, as this was the only day I could manage, and got the conformation email. 3 days later they emailed saying they could not do that day or time, and I would have to pick another day, which was no use to me as I would be working. They then said I could change the garage and get the same day, but I had to pick up the tyres from the first garage and take them with me to the other garage.So again got the confirmation email with the day and time and new garage a little further away, but when I arrived home that evening....they had sent another email saying they had changed the time from 9.30 to 1.30 in the after noon without asking me. Again this time was no use to me, so I had to pick up the tyres, go to the other garage to see if they could help me out, which I am glad to say they did, but no thanks to [REDACTED].",ease of booking,negative
